,,,,,,,,,,,,,,,
,"The following list contains top 9933 most frequent Chinese characters based on Jun Da's Modern Chinese Character Frequency List, in the order of decreasing frequency. The number                                          of encounters in the corpus is recalculated into a percentage. The additional and missing information was gathered on HanziDB, Wikidictionary, as well as filled in by hand.",,,,,,,,,,,,,,
,№,Freq.,General standard #,Radical,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,,,,Meaning,
,87,87,0300,丶 3.4,399693,"0,206555%",3,2,5,主,zhǔ,zhu,third,"master, chief owner; host; lord","39,213775%"
,88,88,1849,木 75.6,398149,"0,205757%",1,1,10,样,yàng,yang,fourth,"shape, form, pattern, style","39,419533%"
,89,89,2157,玉 96.7,398087,"0,205725%",3,2,11,理,lǐ,li,third,"reason, logic; manage","39,625258%"
,90,90,0174,心 61.0,392228,"0,202698%",3,2,4,心,xīn,xin,first,"heart; mind, intelligence; soul","39,827956%"
,91,91,0582,女 38.3,388612,"0,200829%",1,1,6,她,tā,ta,first,"she, her","40,028785%"
,92,92,0210,木 75.1,388118,"0,200574%",1,1,5,本,běn,ben,third,"root, origin, source; basis","40,229358%"
,93,93,1650,刀 18.7,381431,"0,197118%",1,1,9,前,qián,qian,second,"in front, forward; preceding","40,426476%"
,94,94,0076,廾 55.1,377012,"0,194834%",1,1,4,开,kāi,kai,first,"open; initiate, begin, start","40,621311%"
,95,95,0774,人 9.5,374459,"0,193515%",2,2,7,但,dàn,dan,fourth,"only; but, however, yet, still","40,814825%"
,96,96,0430,囗 31.3,371612,"0,192044%",2,2,6,因,yīn,yin,first,"cause, reason; by; because (of)","41,006869%"
,97,97,0246,口 30.2,370059,"0,191241%",3,2,5,只,zhǐ,zhi,third,"only, just, simply","41,198110%"
,98,98,0142,人 9.2,369958,"0,191189%",2,1,4,从,cóng,cong,second,"from, by, since, whence, through","41,389299%"
,99,99,2867,心 61.9,368819,"0,190600%",1,1,13,想,xiǎng,xiang,third,"think, speculate, plan, consider","41,579899%"
,100,100,1285,宀 40.5,368494,"0,190432%",3,2,8,实,shí,shi,second,"real, true; honest, sincere","41,770331%"
,101,101,0112,日 72.0,363763,"0,187987%",2,1,4,日,rì,ri,fourth,sun; day; daytime,"41,958318%"
,102,102,0552,車 159.2,362526,"0,187348%",5,5,6,军,jūn,jun,first,"army, military; soldiers, troops","42,145666%"
,103,103,0969,老 125.4,360974,"0,186546%",3,2,8,者,zhě,zhe,third,that which; he who; those who,"42,332212%"
,104,104,2996,心 61.9,360232,"0,186163%",2,2,13,意,yì,yi,fourth,"thought, idea, opinion; think","42,518375%"
,105,105,0081,无 71.0,359265,"0,185663%",4,4,4,无,wú,wu,second,"negative, no, not; KangXi radical 71","42,704038%"
,106,106,0019,力 19.0,359136,"0,185596%",3,2,2,力,lì,li,fourth,"power, capability, influence","42,889634%"
,107,107,0314,宀 40.2,346173,"0,178897%",2,2,5,它,tā,ta,first,it; other,"43,068531%"
,108,108,0034,一 1.3,345532,"0,178566%",4,4,3,与,yǔ,yu,third,"and; with; to; for; give, grant","43,247097%"
,109,109,0127,長 168.0,342148,"0,176817%",2,2,4,长,zhǎng,zhang,third,long; length; excel in; leader,"43,423914%"
,110,110,0655,手 64.4,340730,"0,176084%",3,3,7,把,bǎ,ba,third,"hold, take; guard; regard as","43,599998%"
,111,111,0377,木 75.2,339823,"0,175615%",1,1,6,机,jī,ji,first,desk; machine; moment,"43,775613%"
,112,112,0004,十 24.0,338954,"0,175166%",1,1,2,十,shí,shi,second,"ten, tenth; complete; perfect","43,950780%"
,113,113,0327,氏 83.1,335796,"0,173534%",4,3,5,民,mín,min,second,"people, subjects, citizens","44,124314%"
,114,114,2322,竹 118.5,325780,"0,168358%",2,1,11,第,dì,di,fourth,"sequence, number; grade, degree","44,292673%"
,115,115,0148,八 12.2,318626,"0,164661%",2,2,4,公,gōng,gong,first,"fair, equitable; public; duke","44,457334%"
,116,116,0411,止 77.2,318534,"0,164614%",4,3,6,此,cǐ,ci,third,"this, these; in this case, then","44,621947%"
,117,117,0061,己 49.0,318143,"0,164412%",2,2,3,已,yǐ,yi,third,already; finished; stop,"44,786359%"
,118,118,0026,工 48.0,317532,"0,164096%",1,1,3,工,gōng,gong,first,"labor, work; worker, laborer","44,950455%"
,119,119,1139,人 9.6,316273,"0,163445%",4,2,8,使,shǐ,shi,third,"cause, send on a mission, order; envoy, messenger, ambassador","45,113900%"
,120,120,2438,心 61.8,312900,"0,161702%",2,2,11,情,qíng,qing,second,"feeling, sentiment, emotion","45,275602%"
,121,121,1087,日 72.4,309873,"0,160138%",1,1,8,明,míng,ming,second,"bright, light, brilliant; clear","45,435740%"
,122,122,1268,心 61.5,309844,"0,160123%",4,3,8,性,xìng,xing,fourth,"nature, character, sex","45,595863%"
,123,123,1122,矢 111.3,306384,"0,158335%",2,1,8,知,zhī,zhi,first,"know, perceive, comprehend","45,754197%"
,124,124,0485,入 11.4,305248,"0,157748%",4,2,6,全,quán,quan,second,"maintain, keep whole or intact","45,911945%"
,125,125,0022,一 1.2,304272,"0,157243%",1,1,3,三,sān,san,first,three,"46,069188%"
,126,126,0021,又 29.0,302933,"0,156551%",3,2,2,又,yòu,you,fourth,"and, also, again, in addition","46,225739%"
,127,127,0532,八 12.4,302473,"0,156314%",1,1,6,关,guān,guan,first,frontier pass; close; relation,"46,382053%"
,128,128,1469,火 86.5,300800,"0,155449%",1,1,9,点,diǎn,dian,third,"dot, speck, spot; point, degree","46,537502%"
,129,129,0198,止 77.1,296810,"0,153387%",2,1,5,正,zhèng,zheng,fourth,"right, proper, correct","46,690889%"
,130,130,0231,一 1.4,296169,"0,153056%",3,2,5,业,yè,ye,fourth,"profession, business; GB radical 111","46,843945%"
,131,131,0293,夕 36.2,295645,"0,152785%",2,1,5,外,wài,wai,fourth,"out, outside, external; foreign","46,996730%"
,132,132,1617,爿 90.6,295586,"0,152754%",4,3,9,将,jiāng,jiang,first,"will, going to, future; general","47,149484%"
,133,133,0697,一 1.6,294600,"0,152245%",2,1,7,两,liǎng,liang,third,"two, both, pair, couple; ounce","47,301729%"
,134,134,2021,高 189.0,293542,"0,151698%",1,1,10,高,gāo,gao,first,"high, tall; lofty, elevated","47,453427%"
,135,135,0847,門 169.4,292227,"0,151019%",2,1,7,间,jiān,jian,first,"midpoint, space; place, locality","47,604446%"
,136,136,0245,田 102.0,292199,"0,151004%",4,2,5,由,yóu,you,second,"cause, reason; from","47,755450%"
,137,137,0528,門 169.3,288237,"0,148957%",2,1,6,问,wèn,wen,fourth,"ask about, inquire after","47,904406%"
,138,138,1584,彳 60.6,284252,"0,146897%",1,1,9,很,hěn,hen,third,"very, quite, much","48,051304%"
,139,139,2614,曰 73.8,283689,"0,146606%",2,1,12,最,zuì,zui,fourth,"most, extremely, exceedingly","48,197910%"
,140,140,1552,里 166.2,282843,"0,146169%",3,1,9,重,zhòng,zhong,fourth,"heavy, weighty; double","48,344079%"
,141,141,0531,干 51.5,281616,"0,145535%",4,3,6,并,bìng,bing,fourth,"and, further, more, also, together with; to combine","48,489614%"
,142,142,1127,牛 93.4,281146,"0,145292%",3,2,8,物,wù,wu,fourth,"thing, substance, creature","48,634906%"
,143,143,0121,手 64.0,280442,"0,144928%",2,1,4,手,shǒu,shou,third,hand,"48,779834%"
,144,144,0836,广 53.4,280384,"0,144898%",3,2,7,应,yīng,ying,first,"should, ought to, must","48,924732%"
,145,145,1468,戈 62.5,278776,"0,144067%",5,4,9,战,zhàn,zhan,fourth,"war, fighting, battle","49,068800%"
,146,146,0480,口 30.3,276986,"0,143142%",3,2,6,向,xiàng,xiang,fourth,"toward, direction, trend","49,211942%"
,147,147,0310,大 37.2,274911,"0,142070%",3,2,5,头,tóu,tou,second,"head; top; chief, first; boss","49,354012%"
,148,148,0161,文 67.0,274222,"0,141714%",3,1,4,文,wén,wen,second,"literature, culture, writing","49,495726%"
,149,149,0770,人 9.5,273792,"0,141492%",2,1,7,体,tǐ,ti,third,"body; group, class, body, unit; inferior","49,637217%"
,150,150,1376,攴 66.4,269878,"0,139469%",5,4,9,政,zhèng,zheng,fourth,"government, political affairs","49,776686%"
,151,151,1642,羊 123.3,269452,"0,139249%",4,3,9,美,měi,mei,third,"beautiful, pretty; pleasing","49,915935%"
,152,152,1430,目 109.4,269125,"0,139080%",3,2,9,相,xiāng,xiang,first,"mutual, reciprocal, each other","50,055015%"
,153,153,0118,見 147.0,269080,"0,139057%",1,1,4,见,jiàn,jian,fourth,"see, observe, behold; perceive","50,194071%"
,154,154,2118,衣 145.5,268905,"0,138966%",3,3,10,被,bèi,bei,fourth,"quilt, by, (indicates passive-voice clauses)","50,333038%"
,155,155,0763,刀 18.5,268813,"0,138919%",4,2,7,利,lì,li,fourth,"gains, advantage, profit, merit","50,471956%"
,156,156,0129,人 9.2,267869,"0,138431%",1,1,4,什,shén,shen,second,"file of ten soldiers; mixed, miscellaneous","50,610387%"
,157,157,0003,二 7.0,267506,"0,138243%",1,1,2,二,èr,er,fourth,two; twice,"50,748630%"
,158,158,2681,竹 118.6,266296,"0,137618%",2,1,12,等,děng,deng,third,"class, rank, grade, equal to, same as, to wait for","50,886248%"
,159,159,0522,立 117.1,265164,"0,137033%",5,3,6,产,chǎn,chan,third,"give birth, bring forth, produce","51,023281%"
,160,160,1035,戈 62.4,260786,"0,134770%",3,2,8,或,huò,huo,fourth,"or, either, else; perhaps, maybe","51,158051%"
,161,161,2994,斤 69.9,253921,"0,131223%",2,1,13,新,xīn,xin,first,"new, recent, fresh, modern","51,289273%"
,162,162,0060,己 49.0,250894,"0,129658%",3,2,3,己,jǐ,ji,third,"self, oneself; personal, private; 6th heavenly stem","51,418932%"
,163,163,1121,刀 18.6,250754,"0,129586%",5,3,8,制,zhì,zhi,fourth,system; establish; overpower,"51,548518%"
,164,164,0786,身 158.0,249725,"0,129054%",2,1,7,身,shēn,shen,first,"body; trunk, hull; rad. no. 158","51,677572%"
,165,165,1079,木 75.4,246831,"0,127559%",1,1,8,果,guǒ,guo,third,fruit; result,"51,805130%"
,166,166,0335,力 19.3,243648,"0,125914%",3,2,5,加,jiā,jia,first,"add to, increase, augment","51,931044%"
,167,167,0384,襾 146.0,243619,"0,125899%",1,1,6,西,xī,xi,first,"west(ern); westward, occident","52,056943%"
,168,168,2541,斤 69.8,240900,"0,124494%",6,7–9,12,斯,sī,si,first,"this, thus, such; to lop off; emphatic particle","52,181436%"
,169,169,0150,月 74.0,240566,"0,124321%",1,1,4,月,yuè,yue,fourth,moon; month; KangXi radical 74,"52,305757%"
,170,170,1296,言 149.6,240067,"0,124063%",1,1,8,话,huà,hua,fourth,"speech, talk, language; dialect","52,429820%"
,171,171,0488,口 30.3,239277,"0,123655%",4,2,6,合,hé,he,second,"combine, unite, join; gather","52,553475%"
,172,172,0438,囗 31.3,239243,"0,123637%",1,1,6,回,huí,hui,second,"return, turn around; a time","52,677112%"
,173,173,1938,牛 93.6,239091,"0,123559%",3,2,10,特,tè,te,fourth,"special, unique, distinguished","52,800671%"
,174,174,0271,人 9.3,231734,"0,119757%",5,3,5,代,dài,dai,fourth,"replace, replacement (of person or generation); era, generation","52,920428%"
,175,175,0116,入 11.2,231331,"0,119548%",4,3,4,内,nèi,nei,fourth,inside,"53,039976%"
,176,176,1570,人 9.7,230248,"0,118989%",3,2,9,信,xìn,xin,fourth,"trust, believe; letter","53,158965%"
,177,177,0951,衣 145.3,226768,"0,117190%",2,2,8,表,biǎo,biao,third,"show, express, manifest, display","53,276155%"
,178,178,0132,匕 21.2,224729,"0,116137%",3,3,4,化,huà,hua,fourth,"change, convert, reform; -ize","53,392292%"
,179,179,0360,老 125.0,223050,"0,115269%",1,1,6,老,lǎo,lao,third,"old, aged; experienced","53,507561%"
,180,180,1758,糸 120.6,217815,"0,112564%",2,1,9,给,gěi,gei,third,"give; by, for","53,620124%"
,181,181,0206,一 1.4,214990,"0,111104%",3,3,5,世,shì,shi,fourth,generation; world; era,"53,731228%"
,182,182,0784,人 9.5,214983,"0,111100%",3,2,7,位,wèi,wei,fourth,"throne; position, post; rank, status; seat","53,842328%"
